"reg","yr","unit","va_pr","va_fp","va_cn"
"aus",2007,"millions",533673.979726362,507431.859785655,535831.061606355
"nzl",2007,"millions",79499.0670720589,78922.3882799375,81076.5682309288
"chn",2007,"millions",1958510.73735584,2069474.35024808,1839406.51661354
"hkg",2007,"millions",249068.851687343,187259.268499134,173014.683412404
"jpn",2007,"millions",3642470.43288692,3556660.22782852,3420445.3866086
"kor",2007,"millions",656441.553356148,683251.773877792,644901.198281453
"twn",2007,"millions",348011.592688025,316974.39501895,292520.489996516
"idn",2007,"millions",263733.958103998,239194.986539818,242851.859655533
"mys",2007,"millions",134740.64432554,113487.720731941,96251.2708575179
"phl",2007,"millions",109511.931448597,112350.378068535,111020.050846953
"sgp",2007,"millions",153705.179853211,137837.6393418,115204.480544878
"tha",2007,"millions",194033.284422869,185177.768030411,167044.097252591
"vnm",2007,"millions",40979.3163102328,50442.6440090168,50095.0583259908
"bgd",2007,"millions",80121.2360977902,82198.7563693711,80183.6466697756
"ind",2007,"millions",789217.82495382,821028.834585052,815737.678381323
"lka",2007,"millions",21026.5548883109,22317.103744327,22705.6757105194
"xsa",2007,"millions",106112.438265333,112685.757070303,120590.815225584
"can",2007,"millions",717185.815438296,732620.149756325,766468.424887464
"usa",2007,"millions",9645596.97917045,9778546.24679481,9986926.73753701
"mex",2007,"millions",533704.521880302,556185.863878568,544621.186457628
"xcm",2007,"millions",234155.511019337,241757.224446139,267528.696198235
"col",2007,"millions",127231.554043247,124452.542469807,128060.347114642
"per",2007,"millions",77565.6747784565,65166.2371452194,69270.1811510905
"ven",2007,"millions",105968.988546798,90699.5765479643,105695.942845325
"xap",2007,"millions",45224.6988312851,37739.7236635952,39704.6121189954
"arg",2007,"millions",370687.113469073,334223.883272903,327048.429842879
"bra",2007,"millions",888782.611003692,865137.219514164,860343.627855063
"chl",2007,"millions",113770.004418654,95686.2521196071,98673.7930173058
"ury",2007,"millions",20719.4342994402,20214.8825007408,19590.4507362027
"xsm",2007,"millions",14315.7428753229,12991.7371851773,14533.7667295493
"aut",2007,"millions",186953.078585007,188280.478885019,182522.569533989
"bel",2007,"millions",214405.56354282,262642.933002975,257460.122927987
"dnk",2007,"millions",165974.409705207,167588.2877899,161777.201774027
"fin",2007,"millions",139812.70812463,138813.860176193,133868.717681093
"fra",2007,"millions",1177497.51010865,1256248.62568105,1262535.29146874
"deu",2007,"millions",1871894.52714353,1858460.18865899,1732009.50421814
"gbr",2007,"millions",1502720.67321039,1547552.58422506,1611179.10466843
"grc",2007,"millions",149810.185190919,165392.728306396,184970.833554366
"irl",2007,"millions",132951.077275965,121050.882190476,109517.152624151
"ita",2007,"millions",1047309.11403834,1116941.41151565,1085118.28233155
"lux",2007,"millions",25575.9652957491,31359.705495347,29936.1283053621
"nld",2007,"millions",389216.273644191,396729.446998132,370594.691995959
"prt",2007,"millions",106091.414716792,115861.847767113,122945.26458735
"esp",2007,"millions",639810.897099726,715063.642888576,735769.914522142
"swe",2007,"millions",243770.540192508,234827.47365013,228099.529033153
"che",2007,"millions",314216.323384623,289660.954760488,278932.651782475
"xef",2007,"millions",173332.300064722,147401.620007614,162555.744132763
"alb",2007,"millions",3725.9253948804,4462.64589914308,5749.20514210117
"bgr",2007,"millions",12853.7523239122,17756.641690362,19874.8224670883
"hrv",2007,"millions",24619.1257065389,27416.0935402109,29834.2710617818
"cze",2007,"millions",69275.7958371624,81621.3110741072,75878.371005017
"hun",2007,"millions",47917.6722411802,61003.955895422,52637.9304922161
"mlt",2007,"millions",3710.1533295501,4627.11962250953,4725.37855399865
