"yr","reg","sec","fossil","coa_prod","gas_prod","pet_prod","other_nr","other_r","biofuels","elect_heat","nuclear","hydro","solar","wind"
1997,"aus","pdr",4.45657236963095e-05,0,0,14.6370983123258,0,0,0,1.27012452292159,0,0,0,0
1997,"aus","wht",0.000637508935219611,0,0,192.856478306552,0,0,0,15.8284105065252,0,0,0,0
1997,"aus","gro",0.000313805989322335,0,0,100.624508955177,0,0,0,8.57920203233947,0,0,0,0
1997,"aus","v_f",0.0119929922477286,0,0,118.41865094884,0,0,0,25.9238932904865,0,0,0,0
1997,"aus","osd",0.00098320593897964,0,0,12.6038774774861,0,0,0,1.34774473586443,0,0,0,0
1997,"aus","c_b",0.0027291344617142,0,0,26.9526645722562,0,0,0,5.9004290735105,0,0,0,0
1997,"aus","pfb",0.0112383748356758,0,0,44.0067930815468,0,0,0,11.2401481694017,0,0,0,0
1997,"aus","ocr",0.0671226673828577,0,0,87.0053348118044,0,0,0,29.0323616629203,0,0,0,0
1997,"aus","ctl",0.00137205332200658,0,0,264.938890843557,0,0,0,27.0584329602254,0,0,0,0
1997,"aus","oap",0.260471634504381,0,0,68.7790873450347,0,0,0,40.8797899613149,0,0,0,0
1997,"aus","rmk",0.0308158192996819,0,0,79.6804186833396,0,0,0,44.2003586201996,0,0,0,0
1997,"aus","wol",0.00772436804000512,0,0,146.441035560699,0,0,0,15.7510572241629,0,0,0,0
1997,"aus","frs",0.0345538693187311,0,0,121.050161101382,0,0,48.9682826279125,3.77004724012765,0,0,0,0
1997,"aus","fsh",0,0,0,0,0,0,0,0,0,0,0,0
1997,"aus","coa",615.042,0,0,394.783,0,0,0,328.117,0,0,0,0
1997,"aus","oil",4.16616714612945,0,0,0.112587487085614,0,0,0,0.292375916286944,0,0,0,0
1997,"aus","gas",1225.95183285387,0,0,33.1304125129144,0,0,0,86.0356240837131,0,0,0,0
1997,"aus","omn",242.396,5.804,44.668,950.043,0,0,0,640.241,0,0,0,0
1997,"aus","cmt",107.137776733845,8.64489176562679,0.0211435473659207,15.6450394990962,0.672416522980893,0,1026.14844379557,62.2731033579691,0,0,0,0
1997,"aus","omt",30.6140867031586,2.47167716631222,0.00604522967585254,4.47643228368363,0.192170224719908,0,772.299349758293,17.8047328535703,0,0,0,0
1997,"aus","vol",15.1307350724289,1.26752860588303,0.00194430367047246,0.781123479828897,0.0163056037856278,0,0.94082196388762,5.72646686647124,0,0,0,0
1997,"aus","mil",212.862906776777,15.365892692476,0.0190429207242622,10.9768766188025,0.0256862952384426,0,1.93729798686063,56.0862257395356,0,0,0,0
1997,"aus","pcr",7.45717036658599,0.476739401700581,0.00208167005127856,0.357257023947901,0.0165090942088064,0,0.000102781469378077,6.13104565742836,0,0,0,0
1997,"aus","sgr",22.4013754439615,1.76748065008339,0.00319521624536744,4.28863613840845,0.0992622716188242,0,0.0108599288399478,9.41072129738927,0,0,0,0
1997,"aus","ofd",376.502064752804,29.3550520119419,0.0728126081006225,72.2196720840225,0.942743491057897,0,15.3996847396819,214.451576717052,0,0,0,0
1997,"aus","b_t",101.846884150439,6.84273770597607,0.0237345041662237,27.6979628722099,0.614906496389601,0,0.522439045397907,69.9041275105841,0,0,0,0
1997,"aus","tex",147.598671239497,11.3589397054864,0,15.3976769049361,0,0,0,123.797296264591,0,0,0,0
1997,"aus","wap",7.00192500000465,0.59476170375885,0,2.24208041541015,0,0,0,29.821321965313,0,0,0,0
1997,"aus","lea",10.3464037604987,1.58529859075475,0,2.37924267965372,0,0,0,16.3723817700957,0,0,0,0
1997,"aus","lum",56.857,0,0,32.273,0,0,335.439706912187,0,0,0,0,0
1997,"aus","ppp",699.926,0,0,33.899,0,0,640.479010459901,486.242,0,0,0,0
1997,"aus","p_c",35232.8915253513,0,358.484,5047.019,0,0,0,141.359,0,0,0,0
1997,"aus","crp",825.021,110.612,78.181,62.227,169.485,0,51.519,371.109,0,0,0,0
1997,"aus","nmm",1625.814,1.29,0,91.77,0,0,0,273.431,0,0,0,0
1997,"aus","i_s",4638.11647464873,148.336870829477,1302.818,37.396,0,0,0,484.953,0,0,0,0
1997,"aus","nfm",3652.494,128.332,0,809.988,0,0,21.687,2532.072,0,0,0,0
1997,"aus","fmp",86.9906277913753,0,0,20.2912499843096,0,0,0,66.259285558652,0,0,0,0
1997,"aus","mvh",112.925793539654,0.587009216589862,0,9.44606629582317,0,0,0,152.936796518951,0,0,0,0
1997,"aus","otn",48.3382064603461,0.415990783410138,0,9.67793370417683,0,0,0,85.1542034810493,0,0,0,0
1997,"aus","ele",3.74003446447077,0,0,1.28234628746584,0,0,0,12.3537117857099,0,0,0,0
1997,"aus","ome",50.9503377441539,0,0,13.5014037282246,0,0,0,67.3890026556381,0,0,0,0
1997,"aus","omf",0,0,0,0,0,0,0,0,0,0,0,0
1997,"aus","ely",37956.012,21.563,0,591.158,0,0,0,976.526,0,1419.776,1.978,0.602
1997,"aus","gdt",1856.556,0,1.462,22.786,0,0,0,0.946,0,0,0,0
1997,"aus","wtr",0.773172492389492,0.408436118113698,0.304382484840812,1.75452471105726,0,0,0.000852235375787351,194.068827995691,0,0,0,0
1997,"aus","cns",5.567,0,0,1000.307,0,0,0,2.752,0,0,0,0
1997,"aus","trd",161.760426620973,18.0537796928097,0.241495655532002,265.568589815238,0,0,0.689036669900271,153.973310453975,0,0,0,0
1997,"aus","otp",217.381,0,0,8115.48962375489,0,0,0,183.405,0,0,0,0
1997,"aus","wtp",91.59,0,0,5881.61112020596,0,0,0,0,0,0,0,0
1997,"aus","atp",0,0,0,3550.60181182123,0,0,0,0,0,0,0,0
1997,"aus","cmn",96.8496456553081,1.58014878274756e-06,0.145766742117275,2.25961152810619,0,0,0.0545105269508012,92.9382675164253,0,0,0,0
1997,"aus","ofi",14.2573764023934,3.59460746484679e-05,0.141776230421397,0.201801561305367,0,0,0.000207850218996059,90.393988635441,0,0,0,0
1997,"aus","isr",1.01272487059129,1.15507951955231e-05,0.000788932162239801,0.00277879726200285,0,0,1.36171795305843e-06,0.503009035405101,0,0,0,0
1997,"aus","obs",137.214878390067,7.61324646944847,1.44304647701572,8.51677582041233,0,0,0.317053668886516,920.060622687324,0,0,0,0
1997,"aus","ros",83.9778655278686,1.0223025743416,0.499912981104462,4.95311395377341,0,0,11.0412596166849,318.735575056212,0,0,0,0
1997,"aus","osg",524.712470290577,11.514184719135,2.20970807436418,6.06031535417194,0,0,88.4038620346795,1408.87034426027,0,0,0,0
1997,"aus","dwe",0.0514397498325657,1.3491328788371e-06,0.000122422441907921,0.0124884586733461,0,0,0.000216035585206782,0.0780543592508819,0,0,0,0
1997,"aus","HH",2425.841,3.51,17.433,13640.0823762451,0,0,1881.031,3850.043,0,0,79.846,0
1997,"nzl","pdr",7.30601326621434e-05,0,0,0.00399355908499183,0,0.000205119078306335,0,0.00235509630710919,0,0,0,0
1997,"nzl","wht",2.69759216916519,0,0,7.07328741726104,0,0.265445632623539,0,3.04774199597528,0,0,0,0
1997,"nzl","gro",1.11944588025645,0,0,3.54920771286314,0,0.132754347398383,0,1.52423302548044,0,0,0,0
1997,"nzl","v_f",4.45548115835388,0,0,21.1336941130072,0,0.846922559456917,0,9.72403059068761,0,0,0,0
1997,"nzl","osd",0.127292397094083,0,0,0.615743314987234,0,0.023046470957066,0,0.264610484266246,0,0,0,0
1997,"nzl","c_b",0.00381372180812213,0,0,0.00188816810294593,0,0.000151239873405593,0,0.00173647653980401,0,0,0,0
1997,"nzl","pfb",0.100229374250783,0,0,0.473712970960328,0,0.0177374889948357,0,0.203654848559434,0,0,0,0
1997,"nzl","ocr",0.321522148928193,0,0,1.73717539356914,0,0.0650105004590355,0,0.746424909952739,0,0,0,0
1997,"nzl","ctl",7.80825216281266,0,0,82.4907058178077,0,1.77115724330492,0,20.3357284824943,0,0,0,0
1997,"nzl","oap",2.67697262215361,0,0,18.1916633637995,0,0.403117335018043,0,4.62843415089278,0,0,0,0
1997,"nzl","rmk",13.545249318173,0,0,67.6007784170259,0,3.4755516537882,0,39.9049124664043,0,0,0,0
1997,"nzl","wol",27.0816347488966,0,0,38.0988494281267,0,0.826241734315309,0,9.48658151807511,0,0,0,0
1997,"nzl","frs",6.91644123797473,0,0,16.6153003234041,0,0.245658674732037,44.6028608724255,2.82055595436482,0,0,0,0
1997,"nzl","fsh",0,0,0,162.797,0,0,0,4.385,0,0,0,0
1997,"nzl","coa",35.789,0,0,0,0,0,0,4.41275008575489,0,0,0,0
1997,"nzl","oil",0,0,0,0,0,0,0,0,0,0,0,0
1997,"nzl","gas",121.174,0,0,0,0,0,0,1.97214220610575,0,0,0,0
1997,"nzl","omn",3.568,0,0,54.944,0,0,0,27.429,0,0,0,0
1997,"nzl","cmt",15.4647047599953,0,0,2.55782395749694,0,0,0.397565076204382,67.9281141105341,0,0,0,0
1997,"nzl","omt",2.68691525138236,0,0,0.172391509546128,0,0,0.0267860474369724,4.57667384731111,0,0,0,0
1997,"nzl","vol",26.371083695599,0,0,0.497284417905629,0,0,0.035744823532807,6.10737360277888,0,0,0,0
1997,"nzl","mil",64.6891781110123,0,0,4.96203795337895,0,0,0.201007374985719,34.3441934976942,0,0,0,0
1997,"nzl","pcr",0.0146797483024733,0,0,0.0255118085334518,0,0,0.00183654011657127,0.313791915019451,0,0,0,0
1997,"nzl","sgr",72.5653063565374,0,0,0.995884161680301,0,0,0.0715424752875098,12.2237734548437,0,0,0,0
1997,"nzl","ofd",20.0256869514175,0,0,1.85338264023198,0,0,0.133212190831476,22.7606835743863,0,0,0,0
1997,"nzl","b_t",24.6444451257537,0,0,2.21068355122662,0,0,0.0633054716045632,10.8163959974323,0,0,0,0
1997,"nzl","tex",16.2175847842413,0,0,0,0,0,0,8.49513757560911,0,0,0,0
