"reg","col","inv","col.1","act","col.2","int","col.3","sup","col.4","str","col.5","trd","col.6","mix","col.7","ehh","total","end"
"EU 28","&","Prod.","&",1.012,"&",0.8061,"&",1.0659,"&",1.0192,"&","1.0063","&",0.9988,"&",0.9948,0.8861,"\\"
"USA","&","Prod.","&",1.0033,"&",0.8986,"&",1.0127,"&",1.0124,"&","1.0026","&",0.9998,"&",1.0097,0.9356,"\\"
"Japan","&","Prod.","&",1.0198,"&",0.773,"&",1.0872,"&",1.0259,"&","0.9981","&",0.9806,"&",0.9991,0.8597,"\\"
"R.o. OECD","&","Prod.","&",0.9928,"&",0.8229,"&",1.0629,"&",1.0013,"&","1.0012","&",1.0005,"&",1,0.871,"\\"
"EFTA","&","Prod.","&",0.9861,"&",1.1162,"&",0.8633,"&",0.9769,"&","0.9958","&",1,"&",1.0035,0.9276,"\\"
"China","&","Prod.","&",0.9575,"&",1.1454,"&",0.7311,"&",0.9434,"&","0.9964","&",1.0012,"&",0.9893,0.7465,"\\"
"EU 28","&","Fin. Prod.","&",0.9951,"&",0.8773,"&",1.0156,"&",1.0236,"&","NA","&",0.9991,"&",0.996,0.9031,"\\"
"USA","&","Fin. Prod.","&",0.9964,"&",0.9086,"&",0.9628,"&",1.0144,"&","NA","&",0.9998,"&",1.009,0.892,"\\"
"Japan","&","Fin. Prod.","&",0.9978,"&",0.837,"&",1.0583,"&",1.0246,"&","NA","&",0.9871,"&",0.9992,0.8933,"\\"
"R.o. OECD","&","Fin. Prod.","&",0.9925,"&",0.8593,"&",1.0321,"&",0.9989,"&","NA","&",1.0004,"&",1,0.8797,"\\"
"EFTA","&","Fin. Prod.","&",0.9963,"&",1.0285,"&",0.8886,"&",0.9766,"&","NA","&",1.0005,"&",1.0026,0.892,"\\"
"China","&","Fin. Prod.","&",0.9666,"&",1.1088,"&",0.798,"&",0.9395,"&","NA","&",1.0014,"&",0.989,0.7958,"\\"
"EU 28","&","Fin. Cons.","&",0.9945,"&",0.8891,"&",1.0099,"&",1.0108,"&","1.0105","&",0.999,"&",0.9962,0.9078,"\\"
"USA","&","Fin. Cons.","&",0.997,"&",0.9149,"&",0.9653,"&",1.0001,"&","0.9949","&",0.9997,"&",1.0085,0.8834,"\\"
"Japan","&","Fin. Cons.","&",0.9975,"&",0.8508,"&",1.0507,"&",1.022,"&","1.0054","&",0.989,"&",0.9993,0.9055,"\\"
"R.o. OECD","&","Fin. Cons.","&",0.9909,"&",0.8693,"&",1.0226,"&",0.9922,"&","1.0135","&",1.0004,"&",1,0.8861,"\\"
"EFTA","&","Fin. Cons.","&",0.9896,"&",0.9956,"&",0.8824,"&",0.9744,"&","1.0344","&",1.0002,"&",1.0022,0.8785,"\\"
"China","&","Fin. Cons.","&",0.9538,"&",1.1011,"&",0.8047,"&",0.9478,"&","1.0029","&",1.0018,"&",0.9878,0.795,"\\"
