"yr","reg","col","inv","col.1","egy_p","col.2","mix_shr_p","col.3","p_shr","col.4","egy_fp","col.5","mix_shr_fp","col.6","fp_shr","col.7","egy_c","col.8","mix_shr_c","col.9","c_shr","end"
1997,"efta","&","Nuclear","&",6.7,"&",13,"&",1.1,"&",6.7,"&",11.7,"&",1,"&",8.4,"&",10.7,"&",1.3,"\\"
1997,"efta","&","Other nr.","&",0.6,"&",1.2,"&",3.7,"&",0.5,"&",0.9,"&",3.1,"&",0.5,"&",0.6,"&",3,"\\"
1997,"efta","&","Other r.","&",3.4,"&",6.7,"&",0.2,"&",4,"&",7,"&",0.3,"&",5.1,"&",6.6,"&",0.4,"\\"
1997,"efta","&","Hydro","&",12.8,"&",24.8,"&",4.7,"&",9.1,"&",16.1,"&",3.3,"&",8.8,"&",11.2,"&",3.2,"\\"
1997,"efta","&","Wind","&",0,"&",0,"&",0.1,"&",0,"&",0,"&",0.8,"&",0,"&",0,"&",1.5,"\\"
1997,"efta","&","Solar","&",0,"&",0,"&",0.3,"&",0,"&",0,"&",0.3,"&",0,"&",0,"&",0.3,"\\"
1997,"chn","&","Total Energy","&",1097.5,"&",100,"&",10.1,"&",1075.8,"&",100,"&",9.9,"&",1005.8,"&",100,"&",9.2,"\\"
1997,"chn","&","Fossil Fuels","&",870.4,"&",79.3,"&",10.2,"&",843.1,"&",78.4,"&",9.9,"&",774.6,"&",77,"&",9.1,"\\"
1997,"chn","&","Nuclear","&",3.8,"&",0.3,"&",0.6,"&",8.3,"&",0.8,"&",1.3,"&",8.1,"&",0.8,"&",1.3,"\\"
1997,"chn","&","Other nr.","&",0,"&",0,"&",0,"&",0.1,"&",0,"&",0.3,"&",0.1,"&",0,"&",0.4,"\\"
1997,"chn","&","Other r.","&",206.1,"&",18.8,"&",14.4,"&",207.9,"&",19.3,"&",14.5,"&",207.9,"&",20.7,"&",14.5,"\\"
1997,"chn","&","Hydro","&",16.9,"&",1.5,"&",6.2,"&",16.1,"&",1.5,"&",5.9,"&",14.6,"&",1.5,"&",5.3,"\\"
1997,"chn","&","Wind","&",0,"&",0,"&",1.6,"&",0,"&",0,"&",1.7,"&",0,"&",0,"&",1.6,"\\"
1997,"chn","&","Solar","&",0.4,"&",0,"&",14.1,"&",0.4,"&",0,"&",14,"&",0.4,"&",0,"&",14,"\\"
2014,"eu","&","Total Energy","&",1606.6,"&",100,"&",10.2,"&",2121.8,"&",100,"&",13.5,"&",2180,"&",100,"&",13.9,"\\"
2014,"eu","&","Fossil Fuels","&",1161.4,"&",72.3,"&",9.3,"&",1645.3,"&",77.5,"&",13.1,"&",1703.9,"&",78.2,"&",13.6,"\\"
2014,"eu","&","Nuclear","&",228.4,"&",14.2,"&",33.1,"&",222.3,"&",10.5,"&",32.3,"&",213.1,"&",9.8,"&",30.9,"\\"
2014,"eu","&","Other nr.","&",13.2,"&",0.8,"&",33.9,"&",12.4,"&",0.6,"&",31.8,"&",11.8,"&",0.5,"&",30.3,"\\"
2014,"eu","&","Other r.","&",137.6,"&",8.6,"&",7.2,"&",160.2,"&",7.5,"&",8.4,"&",167.9,"&",7.7,"&",8.8,"\\"
2014,"eu","&","Hydro","&",32.2,"&",2,"&",7.7,"&",49.4,"&",2.3,"&",11.7,"&",52.4,"&",2.4,"&",12.4,"\\"
2014,"eu","&","Wind","&",21.8,"&",1.4,"&",32.6,"&",20.9,"&",1,"&",31.3,"&",20.1,"&",0.9,"&",30.1,"\\"
2014,"eu","&","Solar","&",12,"&",0.7,"&",24.5,"&",11.4,"&",0.5,"&",23.2,"&",10.9,"&",0.5,"&",22.2,"\\"
2014,"usa","&","Total Energy","&",2297.5,"&",100,"&",14.6,"&",2391.2,"&",100,"&",15.2,"&",2512.8,"&",100,"&",16,"\\"
2014,"usa","&","Fossil Fuels","&",1923.7,"&",83.7,"&",15.3,"&",1995.7,"&",83.5,"&",15.9,"&",2096.5,"&",83.4,"&",16.7,"\\"
2014,"usa","&","Nuclear","&",216.4,"&",9.4,"&",31.4,"&",216.3,"&",9,"&",31.4,"&",218.6,"&",8.7,"&",31.7,"\\"
2014,"usa","&","Other nr.","&",4.9,"&",0.2,"&",12.5,"&",5,"&",0.2,"&",12.9,"&",5.2,"&",0.2,"&",13.4,"\\"
2014,"usa","&","Other r.","&",109.5,"&",4.8,"&",5.7,"&",119.2,"&",5,"&",6.3,"&",129.9,"&",5.2,"&",6.8,"\\"
2014,"usa","&","Hydro","&",22.5,"&",1,"&",5.3,"&",33.8,"&",1.4,"&",8,"&",40.7,"&",1.6,"&",9.7,"\\"
2014,"usa","&","Wind","&",15.8,"&",0.7,"&",23.7,"&",16.1,"&",0.7,"&",24.2,"&",16.7,"&",0.7,"&",24.9,"\\"
2014,"usa","&","Solar","&",4.8,"&",0.2,"&",9.7,"&",4.9,"&",0.2,"&",10.1,"&",5.2,"&",0.2,"&",10.5,"\\"
2014,"jpn","&","Total Energy","&",420,"&",100,"&",2.7,"&",513.5,"&",100,"&",3.3,"&",531.5,"&",100,"&",3.4,"\\"
2014,"jpn","&","Fossil Fuels","&",395.7,"&",94.2,"&",3.2,"&",477.8,"&",93.1,"&",3.8,"&",491.4,"&",92.5,"&",3.9,"\\"
2014,"jpn","&","Nuclear","&",0,"&",0,"&",0,"&",3.9,"&",0.8,"&",0.6,"&",5.2,"&",1,"&",0.8,"\\"
