"reg","col","inv","col.1","act","col.2","int","col.3","sup","col.4","str","col.5","trd","col.6","mix","col.7","ehh","total","end"
"EU 28","&","Prod.","&",0.9824,"&",0.8977,"&",0.996,"&",1.0043,"&","0.993","&",1.0001,"&",1.0077,0.8828,"\\"
"USA","&","Prod.","&",0.9636,"&",1.1438,"&",0.7155,"&",1.037,"&","0.9977","&",1.0046,"&",0.9999,0.8195,"\\"
"Japan","&","Prod.","&",1.0207,"&",1.8698,"&",0.4835,"&",1.0656,"&","1.0089","&",1.0018,"&",1.0005,0.9944,"\\"
"R.o. OECD","&","Prod.","&",0.9735,"&",0.9222,"&",0.9521,"&",0.9254,"&","0.9946","&",1.0034,"&",1.0092,0.7966,"\\"
"EFTA","&","Prod.","&",0.9551,"&",0.5884,"&",1.5981,"&",1.0559,"&","0.9887","&",1.003,"&",1.0026,0.9427,"\\"
"China","&","Prod.","&",0.8532,"&",0.6146,"&",1.1975,"&",1.0733,"&","1.0017","&",1.0003,"&",0.9692,0.6545,"\\"
"EU 28","&","Fin. Prod.","&",0.9875,"&",0.7932,"&",1.2927,"&",0.9881,"&","NA","&",1.0008,"&",1.0063,1.0076,"\\"
"USA","&","Fin. Prod.","&",0.9619,"&",1.0333,"&",0.8429,"&",1.0278,"&","NA","&",1.0043,"&",0.9999,0.8647,"\\"
"Japan","&","Fin. Prod.","&",0.9938,"&",1.31,"&",0.7044,"&",1.0495,"&","NA","&",1.0019,"&",1.0004,0.9647,"\\"
"R.o. OECD","&","Fin. Prod.","&",0.974,"&",0.8378,"&",1.09,"&",0.9126,"&","NA","&",1.0035,"&",1.0088,0.8216,"\\"
"EFTA","&","Fin. Prod.","&",0.9578,"&",0.644,"&",1.7781,"&",1.0525,"&","NA","&",1.0038,"&",1.0021,1.1611,"\\"
"China","&","Fin. Prod.","&",0.8566,"&",0.6212,"&",1.1366,"&",1.0704,"&","NA","&",1.0012,"&",0.9675,0.6271,"\\"
"EU 28","&","Fin. Cons.","&",0.9876,"&",0.7898,"&",1.2908,"&",1.0038,"&","0.9971","&",1.001,"&",1.0061,1.0148,"\\"
"USA","&","Fin. Cons.","&",0.9612,"&",0.9877,"&",0.89,"&",1.033,"&","1.0042","&",1.0044,"&",0.9999,0.8803,"\\"
"Japan","&","Fin. Cons.","&",0.9941,"&",1.2323,"&",0.7564,"&",1.025,"&","0.9993","&",1.0019,"&",1.0004,0.9513,"\\"
"R.o. OECD","&","Fin. Cons.","&",0.9649,"&",0.837,"&",1.095,"&",0.933,"&","1.0193","&",1.0035,"&",1.0088,0.8514,"\\"
"EFTA","&","Fin. Cons.","&",0.9562,"&",0.703,"&",1.5003,"&",1.005,"&","0.9911","&",1.0028,"&",1.0016,1.009,"\\"
"China","&","Fin. Cons.","&",0.8494,"&",0.6305,"&",1.1185,"&",1.0653,"&","0.997","&",1.0012,"&",0.964,0.614,"\\"
